"ch_version","name","description","allow_readonly"
"26.3.12.3","azureBlobStorageCluster","The table function can be used to read the data stored on Azure Blob Storage in parallel for many nodes in a specified cluster.",0
"26.3.12.3","icebergHDFSCluster","The table function can be used to read the Iceberg table stored on HDFS virtual filesystem in parallel for many nodes in a specified cluster.",0
"26.3.12.3","s3Cluster","The table function can be used to read the data stored on S3 in parallel for many nodes in a specified cluster.",0
"26.3.12.3","oss","The table function can be used to read the data stored on OSS.",0
"26.3.12.3","gcs","The table function can be used to read the data stored on GCS.",0
"26.3.12.3","hudi","The table function can be used to read the Hudi table stored on object store.",0
"26.3.12.3","cosn","The table function can be used to read the data stored on COSN.",0
"26.3.12.3","s3","The table function can be used to read the data stored on AWS S3.",0
"26.3.12.3","azureBlobStorage","The table function can be used to read the data stored on Azure Blob Storage.",0
"26.3.12.3","prometheusQueryRange","Evaluates a prometheus query using data from a specified TimeSeries table over a range of timestamps.",0
"26.3.12.3","prometheusQuery","Evaluates a prometheus query using data from a specified TimeSeries table.",0
"26.3.12.3","timeSeriesMetrics","Provides direct access to the 'metrics' target table for a specified TimeSeries table.",0
"26.3.12.3","fuzzQuery","Perturbs a query string with random variations.",1
"26.3.12.3","timeSeriesData","Provides direct access to the 'data' target table for a specified TimeSeries table.",0
"26.3.12.3","mergeTreeProjection","Reading directly from MergeTree projection",1
"26.3.12.3","format","
Extracts table structure from data and parses it according to specified input format.
Syntax: `format(format_name, data)`.
Parameters:
    - `format_name` - the format of the data.
    - `data ` - String literal or constant expression that returns a string containing data in specified format.
Returned value: A table with data parsed from `data` argument according specified format and extracted schema.
",0
"26.3.12.3","paimonAzure","The table function can be used to read the Paimon table stored on Azure object store.",0
"26.3.12.3","loop","The table function can be used to continuously output query results in an infinite loop.",0
"26.3.12.3","postgresql","",0
"26.3.12.3","clusterAllReplicas","",1
"26.3.12.3","viewIfPermitted","",1
"26.3.12.3","view","",1
"26.3.12.3","jdbc","",0
"26.3.12.3","timeSeriesTags","Provides direct access to the 'tags' target table for a specified TimeSeries table.",0
"26.3.12.3","hdfs","The table function can be used to read the data stored on HDFS virtual filesystem.",0
"26.3.12.3","hive","",0
"26.3.12.3","dictionary","",0
"26.3.12.3","mergeTreeTextIndex","Reads the dictionary of a text index from a MergeTree table. Returns tokens with their posting list metadata.",1
"26.3.12.3","mergeTreeAnalyzeIndexesUUID","Internal function for index analysis",1
"26.3.12.3","numbers_mt","",1
"26.3.12.3","mergeTreeIndex","Represents the contents of index and marks files of MergeTree tables. It can be used for introspection",1
"26.3.12.3","paimonS3","The table function can be used to read the Paimon table stored on S3 object store.",0
"26.3.12.3","generateRandom","",1
"26.3.12.3","merge","Creates a temporary Merge table. The structure will be derived from underlying tables by using a union of their columns and by deriving common types.",1
"26.3.12.3","url","",0
"26.3.12.3","zeros_mt","
                Generates a stream of zeros (a table with one column 'zero' of type 'UInt8') of specified size.
                This table function is used in performance tests, where you want to spend as little time as possible to data generation while testing some other parts of queries.
                In contrast to the `zeros`, this table function is using multiple threads for data generation, according to the `max_threads` setting.
                Example:
                [example:1]
                This query will test the speed of `randomPrintableASCII` function using multiple threads.
                See also the `system.zeros` table.",0
"26.3.12.3","executable","",0
"26.3.12.3","fuzzJSON","Perturbs a JSON string with random variations.",1
"26.3.12.3","deltaLakeS3","The table function can be used to read the DeltaLake table stored on S3.",0
"26.3.12.3","urlCluster","",0
"26.3.12.3","fileCluster","This table function is used for distributed reading of files in cluster nodes filesystems.",0
"26.3.12.3","values","",1
"26.3.12.3","file","",0
"26.3.12.3","timeSeriesSelector","Reads time series from a specified TimeSeries table.",0
"26.3.12.3","redis","",0
"26.3.12.3","zeros","
                Generates a stream of zeros (a table with one column 'zero' of type 'UInt8') of specified size.
                This table function is used in performance tests, where you want to spend as little time as possible to data generation while testing some other parts of queries.
                In contrast to the `zeros_mt`, this table function is using single thread for data generation.
                Example:
                [example:1]
                This query will test the speed of `randomPrintableASCII` function using single thread.
                See also the `system.zeros_mt` table.",0
"26.3.12.3","mergeTreeAnalyzeIndexes","Internal function for index analysis",1
"26.3.12.3","input","",0
"26.3.12.3","mysql","",0
"26.3.12.3","viewExplain","
                Returns result of EXPLAIN query.
                The function should not be called directly but can be invoked via `SELECT * FROM (EXPLAIN <query>)`.
                You can use this query to process the result of EXPLAIN further using SQL (e.g., in tests).
                Example:
                [example:1]
                ",0
"26.3.12.3","null","",1
"26.3.12.3","odbc","",0
"26.3.12.3","generateSeries","",1
"26.3.12.3","mongodb","Allows get data from MongoDB collection.",0
"26.3.12.3","generate_series","",1
"26.3.12.3","deltaLake","The table function can be used to read the DeltaLake table stored on S3, alias of deltaLakeS3.",0
"26.3.12.3","sqlite","",0
"26.3.12.3","arrowFlight","Allows to perform queries on data exposed via an Apache Arrow Flight server.",0
"26.3.12.3","cluster","",1
"26.3.12.3","primes","Returns tables with a single UInt64 column `prime` containing prime numbers in ascending order, starting from 2.",1
"26.3.12.3","paimonCluster","The table function can be used to read the Paimon table stored on store from disk in parallel for many nodes in a specified cluster.",0
"26.3.12.3","remoteSecure","",0
"26.3.12.3","numbers","",1
"26.3.12.3","remote","",0
"26.3.12.3","arrowflight","Allows to perform queries on data exposed via an Apache Arrow Flight server.",0
